Latitude;Longitude;State;City;Street;HouseNumber;PostCode
44.7982562;-68.7877772;ME;Bangor;Wing Street;59;04401
44.7981646;-68.7869367;ME;Bangor;Wing Street;74;04401
44.7985879;-68.7870489;ME;Bangor;Bowdoin Place;9;04401
44.7974017;-68.7881912;ME;Bangor;Savage Street;24;04401
44.7971759;-68.7877685;ME;Bangor;Savage Street;14;04401
44.7980028;-68.7894913;ME;Bangor;Savage Street;48;04401
44.7986460;-68.7892424;ME;Bangor;Vernon Street;42;04401
44.7988661;-68.7890014;ME;Bangor;Wing Street;31;04401
44.7990741;-68.7895316;ME;Bangor;Wing Street;19;04401
44.7989883;-68.7893360;ME;Bangor;Vernon Street;35;04401
44.7948245;-68.8043835;ME;Bangor;Gray Street;21;04401
44.7973371;-68.8049882;ME;Bangor;Mildred Avenue;27;04401
44.7982257;-68.7932330;ME;Bangor;West Street;25;04401
44.7981759;-68.7930562;ME;Bangor;West Street;23;04401
44.7980461;-68.7934928;ME;Bangor;West Street;30;04401
44.7983793;-68.7935675;ME;Bangor;West Street;35;04401
44.7982087;-68.7938083;ME;Bangor;West Street;38;04401
44.7983035;-68.7939660;ME;Bangor;West Street;42;04401
44.7983623;-68.7941239;ME;Bangor;West Street;44;04401
44.7986096;-68.7939586;ME;Bangor;West Street;45;04401
44.7987633;-68.7943247;ME;Bangor;West Street;55;04401
44.7986785;-68.7947423;ME;Bangor;West Street;60;04401
44.7987509;-68.7949317;ME;Bangor;West Street;64;04401
44.7989983;-68.7948233;ME;Bangor;West Street;67;04401
44.7989903;-68.7953923;ME;Bangor;West Street;74;04401
44.7989687;-68.7934073;ME;Bangor;North Street;21;04401
44.7991079;-68.7932488;ME;Bangor;North Street;17;04401
44.7987073;-68.7932439;ME;Bangor;North Street;28;04401
44.7985950;-68.7933265;ME;Bangor;North Street;32;04401
44.7990263;-68.7928824;ME;Bangor;North Street;16;04401
44.7991566;-68.7928061;ME;Bangor;North Street;12;04401
44.8013727;-68.7768727;ME;Bangor;Hammond Street;255;04401
44.8013857;-68.7766134;ME;Bangor;Hammond Street;243;04401
44.8032994;-68.7793183;ME;Bangor;Ohio Street;102;04401
44.8032574;-68.7808801;ME;Bangor;George Street;29;04401
44.8033651;-68.7807216;ME;Bangor;George Street;25;04401
44.8033919;-68.7805761;ME;Bangor;George Street;23;04401
44.8034860;-68.7803608;ME;Bangor;George Street;17;04401
44.8037426;-68.7803915;ME;Bangor;George Street;11;04401
44.8037013;-68.7800059;ME;Bangor;George Street;3;04401
44.8033383;-68.7808166;ME;Bangor;George Street;27;04401
44.8037327;-68.7799363;ME;Bangor;George Street;1;04401
44.8043277;-68.7803892;ME;Bangor;Highland Avenue;10;04401
44.8048656;-68.7815442;ME;Bangor;Highland Avenue;34;04401
44.8047213;-68.7814183;ME;Bangor;Charles Street;33;04401
44.8044517;-68.7816343;ME;Bangor;Charles Street;39;04401
44.8055636;-68.7725192;ME;Bangor;Spring Street;24;04401
44.8067616;-68.7554179;ME;Bangor;Spruce Street;24;04401
44.8098133;-68.7820820;ME;Bangor;Winter Street;24;04401
44.8028773;-68.7774865;ME;Bangor;Boynton Street;26;04401
44.8009355;-68.7720064;ME;Bangor;Columbia Street;26;04401
44.8084577;-68.7840345;ME;Bangor;Cottage Street;26;04401
44.8002803;-68.7799115;ME;Bangor;Fifth Street;26;04401
44.8021062;-68.7722420;ME;Bangor;Franklin Street;26;04401
44.7947312;-68.7779856;ME;Bangor;Parker Street;26;04401
44.8310979;-68.7548595;ME;Bangor;Gilman Road;28;04401
44.8047951;-68.7598899;ME;Bangor;Newbury Street;28;04401
44.7986730;-68.7750750;ME;Bangor;Second Street;28;04401
44.8056938;-68.7723480;ME;Bangor;Spring Street;28;04401
44.8068878;-68.7554995;ME;Bangor;Spruce Street;28;04401
44.8022040;-68.7715904;ME;Bangor;Central Street;30;04401
44.8000742;-68.7780789;ME;Bangor;Fourth Street;30;04401
44.8021603;-68.7722544;ME;Bangor;Franklin Street;30;04401
44.8009297;-68.7713742;ME;Bangor;Main Street;30;04401
44.7969562;-68.7718577;ME;Bangor;Summer Street;30;04401
44.7991041;-68.7887034;ME;Bangor;Vernon Street;30;04401
44.8099974;-68.7818473;ME;Bangor;Winter Street;30;04401
44.7959106;-68.7827285;ME;Bangor;Carroll Street;32;04401
44.8121104;-68.7758701;ME;Bangor;Congress Street;32;04401
44.8008937;-68.7713933;ME;Bangor;Main Street;32;04401
